10:27:52.531 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:27:54.241 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:27:54.244 | INFO  | nukr.profile-state | Removing Cris from storage.
10:27:54.245 | INFO  | nukr.profile-state | Removing Ed from storage.
10:27:54.245 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:27:54.245 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:28:07.906 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:28:09.831 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:28:11.323 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:28:11.323 | INFO  | nukr.profile-state | Removing Cris from storage.
10:28:11.324 | INFO  | nukr.profile-state | Removing Ed from storage.
10:28:11.324 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:28:11.324 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:29:12.886 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:29:14.936 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:29:16.515 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:29:16.518 | INFO  | nukr.profile-state | Removing Cris from storage.
10:29:16.519 | INFO  | nukr.profile-state | Removing Ed from storage.
10:29:16.519 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:29:16.519 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:31:07.808 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:31:09.587 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:31:11.287 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:31:11.288 | INFO  | nukr.profile-state | Removing Cris from storage.
10:31:11.289 | INFO  | nukr.profile-state | Removing Ed from storage.
10:31:11.289 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:31:11.289 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:32:17.413 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:32:19.248 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:32:20.723 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:32:20.726 | INFO  | nukr.profile-state | Removing Cris from storage.
10:32:20.727 | INFO  | nukr.profile-state | Removing Ed from storage.
10:32:20.727 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:32:20.728 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:34:31.813 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:34:33.632 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:34:34.983 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:34:34.985 | INFO  | nukr.profile-state | Removing Cris from storage.
10:34:34.987 | INFO  | nukr.profile-state | Removing Ed from storage.
10:34:34.988 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:34:34.988 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:34:51.431 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:34:54.992 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
